
"Arkadelphia","Arkadelphia Confederate Monument","Monument/Courthouse","1911"
"Batesville","Batesville Confederate Monument","Monument","1907"
"Benton","Confederate Veterans Memorial","Monument","N/A"
"Bentonville","Bentonville Confederate Monument","Monument","1908"
"Blytheville","Confederate War Memorial","Monument/Courthouse","1934"
"Camden","Camden Confederate Women Monument","Monument/Courthouse","1915"
"Conway","Confederate Soldiers Monument","Monument/Courthouse","1925"
"Dardanelle","Dardanelle Confederate Monument","Monument","1921"
"El Dorado","El Dorado Confederate Monument","Monument/Courthouse","1909"
"El Dorado","Robert E. Lee Street","Road/Street/Highway","N/A"
"Forrest City","City of Forrest City","Municipality","1870"
"Forrest City","Confederate Drive","Road/Street/Highway","N/A"
"Forrest City","Forrest City High School","School","1914"
"Forrest City","Forrest City Junior High School","School","N/A"
"Fort Smith","Jefferson Davis Memorial","Monument","1937"
"Fort Smith","Fort Smith Confederate Monument","Monument/Courthouse","1903"
"Harrison","Confederate Veterans Memorial","Monument","1986"
"Heber Springs","Jefferson Davis Road","Road/Street/Highway","N/A"
"Hot Springs","Hot Springs Confederate Monument","Monument","1934"
"Hughes","Jeff Davis Street","Road/Street/Highway","N/A"
"Jacksonport","Jackson County Confederate Memorial","Monument","1914"
"Jacksonville","Jeff Davis Avenue","Road/Street/Highway","N/A"
"Lake Village","Lake Village Confederate Monument","Monument/Courthouse","1910"
"Lake Village","Confederate Street","Road/Street/Highway","N/A"
"Little Rock","Confederate Flag Day (Not state observed; listed in statutes)","Holiday
(Saturday preceeding Easter)","N/A"
"Little Rock","Robert E. Lee Day
(State observed)","Holiday
(3rd Monday in January)","N/A"
"Little Rock","Confederate Bench","Monument","1936"
"Little Rock","Confederate Soldiers Memorial","Monument","1905"
"Little Rock","General Thomas J. Churchill Memorial","Monument","1928"
"Little Rock","General William Read Scurry Memorial","Monument","1928"
"Little Rock","Memorial to Company A Confederate Soldiers","Monument","1911"
"Little Rock","Southern Soldiers Memorial","Monument","N/A"
"Little Rock","Confederate War Prisoners Memorial","Monument/Gov.Property","N/A"
"Little Rock","Monument to Confederate Soldiers","Monument/Gov.Property","1905"
"Little Rock","Monument to Confederate Women","Monument/Gov.Property","1913"
"Little Rock","Beauregard Drive","Road/Street/Highway","N/A"
"Little Rock","Claiborne Drive","Road/Street/Highway","N/A"
"Little Rock","Longstreet Drive","Road/Street/Highway","N/A"
"Little Rock","Pickett Drive","Road/Street/Highway","N/A"
"Lonoke","Lonoke Confederate Monument","Monument/Courthouse","1910"
"Malvern","Robert E. Lee Street","Road/Street/Highway","N/A"
"Marianna","Lee County","County","1873"
"Marianna","General Robert E. Lee Monument","Monument","1913"
"Marion","Crittenden County Civil War Memorial","Monument/Courthouse","1936"
"New Edinburg","Confederate Captain Richard Tunball Banks Monument","Monument","1864"
"Osceola","Confederate Monument","Monument/Courthouse","1934"
"Pea Ridge","Texas Memorial","Monument","1964"
"Pine Bluff","Pine Bluff Confederate Monument","Monument","1910"
"Pine Bluff","Forrest Park Prep Preschool","School","N/A"
"Prescott","Confederate War Memorial","Monument","1964"
"Russellville","Confederate Mothers Memorial Park","Park","N/A"
"Searcy","Searcy Confederate Monument","Monument/Courthouse","1917"
"Smithville","Confederate War Memorial","Monument","1996"
"Springdale","Robert E. Lee Elem. School","School","1951"
"Star City","Star City Confederate Memorial","Monument","1928"
"Van Buren","Van Buren Confederate Monument","Monument/Courthouse","1899"
"Wilson","Jeb Stuart Drive","Road/Street/Highway","N/A"
