"City","Monument","Type","Year"
"Bradenton","Confederate Monument","Monument/Courthouse","1924"
"Brooksville","Confederate Soldier","Monument/Courthouse","1916"
"Crestview","Confederate Park Monument","Monument","1958"
"Crestview","Confederate Park","Park","1958"
"Dade City","Pasco County","County","1887"
"Daytona Beach","Confederate Veterans Monument","Monument","1979"
"Defuniak Springs","Walton County Flag","Flag/Courthouse","1871"
"Defuniak Springs","Walton County Confederate Monument","Monument/Courthouse","1871"
"East Palatka","Robert E. Lee Drive","Road/Street/Highway","N/A"
"Ellenton","Judah P. Benjamin","Monument","1925"
"","Confederate Memorial","",""
"Fort Myers","Lee County","County","1887"
"Gainesville","Confederate Monument","Monument","1904"
"Hilliard","General Lee Road","Road/Street/Highway","N/A"
"Hollywood","Forrest Street","Road/Street/Highway","N/A"
"Hollywood","Lee Street","Road/Street/Highway","N/A"
"Jacksonville","Florida Confederate Soldiers Memorial","Monument","1899"
"Jacksonville","Monument to Women of the Confederacy","Monument","1914"
"Jacksonville","Yellow Bluff Fort Monument","Monument","1950"
"Jacksonville","Confederate Park","Park","1907"
"Jacksonville","Hemming Park","Park","1898"
"Jacksonville","Confederate Point Road","Road/Street/Highway","N/A"
"Jacksonville","Confederate Street","Road/Street/Highway","N/A"
"Jacksonville","General Lee Road","Road/Street/Highway","N/A"
"Jacksonville","Jeb Stuart Middle School","School","N/A"
"Jacksonville","Jefferson Davis Middle School","School","N/A"
"Jacksonville","Robert E. Lee High School","School","1928"
"Jacksonville","Stonewall Jackson Elementary School","School","N/A"
"LaBelle","Hendry County","County","1923"
"Lakeland","Confederate Monument","Monument","1910"
"Macclenny","Baker County","County","1861"
"Macclenny","Robert E. Lee Lane","Road/Street/Highway","N/A"
"Madison","Confederate Monument","Monument","N/A"
"Manatee","Judah P. Benjamin Confederate Memorial at Gamble Plantation Historic State Park","Park","1925"
"Marianna","Confederate War Memorial","Monument","1921"
"Marianna","Confederate Monument","Monument/Courthouse","1881"
"Miami","Robert E. Lee Park","Park","N/A"
"Monticello","Confederate Monument","Monument/Courthouse","1899"
"Ocala","Johnny Reb Monument","Monument/Courthouse","1908"
"Orlando","Confederate Memorial","Monument","1911"
"Orlando","Stonewall Jackson Road","Road/Street/Highway","N/A"
"Orlando","Robert E. Lee Middle School","School","1956"
"Orlando","Stonewall Jackson Middle School","School","1964"
"Palatka","Confederate Monument","Monument/Courthouse","1956"
"Pensacola","Confederate Memorial","Monument","1891"
"Pensacola","Lee Square","Park","1889"
"Perry","Confederate Monument","Monument","N/A"
"Perry","North Jeff Davis Avenue","Road/Street/Highway","N/A"
"Port Orange","Confederate Oak","Tree","N/A"
"Quincy","Confederate Monument","Monument/Courthouse","1884"
"St. Augustine","Confederate Monument","Monument","1880"
"St. Cloud","Confederate Monument","Monument","2006"
"St. Cloud","Robert Lee Road","Road/Street/Highway","N/A"
"Starke","Bradford County","County","1861"
"Stuart","Southeast General Lee Terrace","Road/Street/Highway","N/A"
"Tallahassee","Confederate Memorial Day (Not state observed; listed in statutes)","Holiday (April 26)","N/A"

"Tallahassee","Robert E. Lee Day (Not state observed; listed in statutes)","Holiday (January 19)","N/A"
"Tampa","Confederate Soldiers Monument","Monument/Courthouse","1911"
"Tampa","Robert E. Lee Road","Road/Street/Highway","N/A"
"Tampa","Lee Elementary School of Technology/World Studies","School","1943"
"White Springs","Confederate Memorial","Monument","2002"
"Zephyrhills","Jeff Davis Drive","Road/Street/Highway","N/A"
