"City","Monument","Type","Year"
"Abbeville","Confederate Memorial","Monument","1909"
"Adel","Cook County","County","1918"
"Alamo","Wheeler County","County","1912"
"Americus","Confederate Monument","Monument","1900"
"Andersonville","Robert E. Lee Street","Road/Street/Highway","N/A"
"Athens","Candler Hall at the University of Georgia","Building","1901"
"Athens","Joseph E. Brown Hall at the University of Georgia","Building","1932"
"Atlanta","Sons of Confederate Veterans Commemorative License Plate","Commemorative License Plate","N/A"
"Atlanta","Brigadier General Alfred Iverson Jr.","Monument","N/A"
"Atlanta","Eternal Flame of the Confederacy","Monument","1939"
"Atlanta","John B. Gordon Statue","Monument/Gov.Property","1907"
"Atlanta","Joseph E. Brown Middle School","School","1924"
"Augusta","Augusta Confederate Monument","Monument","1878"
"Augusta","Wheeler Road","Road/Street/Highway","N/A"
"Bainbridge","Confederate Monument","Monument","1936"
"Barnesville","Lamar County","County","1955"
"Blakely","Confederate Flagpole","Monument/Courthouse","1861"
"Brunswick","Glynn County Confederate Monument","Monument","1902"
"Brunswick","General Robert E. Lee Road","Road/Street/Highway","N/A"
"Buford","General Lee Way","Road/Street/Highway","N/A"
"Butler","Taylor County Confederate Monument","Monument/Courthouse","1911"
"Cairo","Confederate Memorial","Flag/Courthouse","N/A"
"Calhoun","Calhoun Veterans Monument","Monument","1927"
"Canton","Confederate Memorial Arch","Monument","1923"
"Carnesville","Franklin County Confederate Monument","Monument/Courthouse","1910"
"Carrollton","Confederate Monument","Monument/Courthouse","1910"
"Cartersville","Bartow County","County","1861"
"Cartersville","Bartow County Confederate Monument","Monument","1908"
"Cedartown","Polk County Confederate Monument","Monument/Courthouse","1906"
"Clayton","Confederate Flag","Flag/Courthouse","N/A"
"Cochran","Bleckley County","County","1912"
"Cochran","Bleckley County Confederate Monument","Monument","1910"
"Columbus","Muscogee County Confederate Monument","Monument","1879"
"Columbus","Tyler Home — Ladies Aid Society","Monument","1936"
"Columbus","Robert E. Lee Drive","Road/Street/Highway","N/A"
"Conyers","Confederate Monument","Monument/Courthouse","1913"
"Cordele","Crisp County Confederate Monument","Monument","1911"
"Covington","Confederate War Memorial","Monument/Courthouse","1906"
"Crawfordville","Confederate Monument","Monument/Courthouse","1898"
"Cusseta","Confederate Veterans Monument","Monument/Courthouse","N/A"
"Cuthbert","Randolph County Confederate Monument","Monument","1910"
"Dallas","Confederate Avenue","Road/Street/Highway","N/A"
"Dalton","General Johnston Headquarters","Monument","N/A"
"Douglas","Confederate Soldier","Monument","1911"
"Douglasville","Confederate War Memorial","Monument/Courthouse","1914"
"Dublin","Laurens County Confederate Monument","Monument/Courthouse","1912"
"Eastman","Confederate Monument of Eastman","Monument/Courthouse","1910"
"Eastman","Jefferson Davis Memorial Road","Road/Street/Highway","N/A"
"Eatonton","Eatonton Confederate Monument","Monument","1908"
"Eatonton","Birthplace of Lucius Quintus Cincinnatus Lamar","Monument/Courthouse","1936"
"Elberton","Elbert County Confederate Monument","Monument","1898"
"Ellaville","Schley County Confederate Monument","Monument/Courthouse","1910"
"Fayetteville","Jeff Davis Drive","Road/Street/Highway","N/A"
"Fitzgerald","Ben Hill County","County","1956"
"Fitzgerald","Jefferson Davis Monument","Monument","N/A"
"Fitzgerald","Jefferson Davis Memorial Historic Site","Park","N/A"
"Fitzgerald","Bragg Street","Road/Street/Highway","N/A"
"Fitzgerald","Gordon Street","Road/Street/Highway","N/A"
"Fitzgerald","Hill Street","Road/Street/Highway","N/A"
"Fitzgerald","Jackson Street","Road/Street/Highway","N/A"
"Fitzgerald","Jeff Davis Park Road","Road/Street/Highway","N/A"
"Fitzgerald","Lee Street","Road/Street/Highway","N/A"
"Fitzgerald","Logan Street","Road/Street/Highway","N/A"
"Fitzgerald","Longstreet Street","Road/Street/Highway","N/A"
"Fitzgerald","Thomas Street","Road/Street/Highway","N/A"
"Forest Park","Hood Avenue","Road/Street/Highway","1957"
"Forest Park","Wheeler Drive","Road/Street/Highway","1957"
"Forsyth","Confederate Monument","Monument/Courthouse","1907"
"Fort Benning","Fort Benning","Military Base","1918"
"Fort Gordon","Fort Gordon","Military Base","1917"
"Fort Oglethorpe","Forrest Road","Road/Street/Highway","N/A"
"Fort Oglethorpe","Polk Circle","Road/Street/Highway","N/A"
"Fort Oglethorpe","Robert E. Lee Street","Road/Street/Highway","N/A"
"Fort Oglethorpe","Shelby Street","Road/Street/Highway","N/A"
"Franklin","Heard County Confederate Monument","Monument","1999"
"Franklin","Jeff Davis Road","Road/Street/Highway","N/A"
"Gainesville","Longstreet Bridge","Bridge","1957"
"Gainesville","Hall County Confederate Monument","Monument","1909"
"Greensboro","Greene County Confederate Monument","Monument/Courthouse","1898"
"Greensboro","Jefferson Davis Road","Road/Street/Highway","N/A"
"Griffin","Confederate Monument","Monument","1909"
"Hartwell","Confederate Monument","Monument/Courthouse","1908"
"Hawkinsville","Confederate Monument","Monument/Courthouse","1908"
"Hazlehurst","Jeff Davis County","County","1905"
"Hazlehurst","Jefferson Davis Memorial","Monument","N/A"
"Hazlehurst","Jefferson Davis Bust","Monument/Courthouse","N/A"
"Hazlehurst","Jeff Davis Street","Road/Street/Highway","N/A"
"Hazlehurst","Jeff Davis Elementary School","School","N/A"
"Hazlehurst","Jeff Davis High School","School","N/A"
"Hazlehurst","Jeff Davis Middle School","School","N/A"
"Hazlehurst","Jeff Davis Primary School","School","N/A"
"Hinesville","Liberty County Confederate Monument","Monument/Courthouse","1928"
"Irwinville","Jefferson Davis Memorial","Monument","1935"
"Jackson","Monument to Butts County Confederate Soldiers","Monument/Courthouse","1911"
"Jefferson","Jackson County Confederate Monument","Monument","1911"
"Jeffersonville","Twiggs County Confederate Monument","Monument","1911"
"Jonesboro","Jeb Stuart Drive","Road/Street/Highway","N/A"
"Jonesboro","Jeff Davis Drive","Road/Street/Highway","N/A"
"Jonesboro","Robert E. Lee Parkway","Road/Street/Highway","N/A"
"Jonesboro","Stonewall Jackson Drive","Road/Street/Highway","N/A"
"Kingston","First Confederate Hospital of the Civil War","Monument","N/A"
"Lafayette","Walker County Confederate Monument","Monument","1909"
"LaGrange","Monument to the Confederate Soldier","Monument","1902"
"LaGrange","Ben Hill Street","Road/Street/Highway","N/A"
"Lawrenceville","Lawrenceville Confederate Memorial","Monument/Courthouse","1990"
"Lexington","Oglethorpe County Confederate Monument","Monument/Courthouse","1916"
"Lincolnton","Lincoln County Confederate Monument","Monument","N/A"
"Lumpkin","Stewart County Confederate Monument","Monument/Courthouse","1908"
"Lyons","Toombs County","County","N/A"
"Lyons","Jeff Davis Avenue","Road/Street/Highway","N/A"
"Macon","Bibb County Confederate Monument","Monument","1879"
"Macon","General Lee Road","Road/Street/Highway","N/A"
"Macon","Jeff Davis Street","Road/Street/Highway","N/A"
"Madison","Morgan County Confederate Monument","Monument","1909"
"McDonough","Confederate Memorial Drinking Fountain","Monument/Courthouse","1915"
"Milledgeville","Confederate Memorial Fountain","Monument","1912"
"Millen","Jenkins County Confederate Monument","Monument/Courthouse","1909"
"Monroe","Confederate Monument","Monument/Courthouse","1907"
"Montezuma","Macon County Confederate Monument","Monument","1911"
"Monticello","Jasper County Confederate Monument","Monument","1910"
