"City","Monument","Type","Year"
"Aberdeen","Confederate Monument","Monument","1900"
"Amory","Amory's Tribute to the Heroes of 1861-1865","Monument","1924"
"Ashland","Benton County","County","1870"
"Bay St. Louis","Jeff Davis Drive","Road/Street/Highway","N/A"
"Beaumont","Jeff Davis Parkway","Road/Street/Highway","N/A"
"Beaumont","Robert E. Lee Street","Road/Street/Highway","N/A"
"Biloxi","Jefferson Davis Avenue","Road/Street/Highway","N/A"
"Bogue Chitto","Beauregard Street","Road/Street/Highway","N/A"
"Bogue Chitto","Lee Drive","Road/Street/Highway","N/A"
"Brandon","Brandon Confederate Monument","Monument/Courthouse","","1907"
"Brooklyn","Forrest County Agricultural","School","","1916"
"","High School","","",""
"Brooklyn","South Forrest Attendance Center","School","","1960"
"Brooksville","Our Heroes Monument","Monument","","1911"
"Canton","Howcott Monument to Loyal","Monument","","1894"
"","Servants of the Harvey Scouts","","",""
"Carrollton","Confederate Flag","Flag/Courthouse","","N/A"
"Charleston","Confederate Monument","Monument/Courthouse","","N/A"
"Cleveland","Confederate Monument","Monument/Courthouse","","1908"
"Columbus","Lowndes County","Monument/Courthouse","","1912"
"","Confederate Monument","","",""
"Corinth","Corinth Confederate Memorial","Monument","","1992"
"Corinth","Colonel Rogers Statue","Monument/Courthouse","","1912"
"Corinth","Confederate Street","Road/Street/Highway","","N/A"
"De Kalb","Jeff Davis Road","Road/Street/Highway","","N/A"
"Duck Hill","Confederate Soldiers Monument","Monument","","1908"
"Duck Hill","Jeff Davis Road","Road/Street/Highway","","N/A"
"Ellisville","Confederate Monument","Monument/Courthouse","","1912"
"Fayette","Confederate Soldier Sculpture","Monument","","1904"
"Florence","Robert E. Lee Drive","Road/Street/Highway","","N/A"
"Greenville","Confederate Monument","Monument/Courthouse","","1909"
"Greenwood","Confederate Memorial Building","Building","","N/A"
"Greenwood","Confederate Monument","Monument/Courthouse","","1913"
"Greenwood","Robert E. Lee Drive","Road/Street/Highway","","N/A"
"Grenada","Confederate Monument","Monument","","1910"
"Gulfport","Confederate Monument","Monument/Courthouse","","1911"
"Hattiesburg","Jefferson Davis Hall at Pearl","Building","","N/A"
"","River Community College","","",""
"Hattiesburg","Forrest County","County","","1908"
"Hattiesburg","Jefferson Davis Lake Dam","Dam","","N/A"
"Hattiesburg","Forrest County","Monument","","1910"
"","Confederate Memorial","","",""
"Hattiesburg","Confederate Memorial","Monument/Courthouse","","1910"
"Hattiesburg","Jefferson Davis Lake","River/Creek/Lake","","N/A"
"Hattiesburg","Bedford Forrest Road","Road/Street/Highway","","N/A"
"Hattiesburg","Robert E. Lee Road","Road/Street/Highway","","N/A"
"Hattiesburg","North Forrest Elementary School","School","","N/A"
"Hazlehurst","Confederate Monument","Monument/Courthouse","","1917"
"Heidelberg","Confederate Statue","Monument","","1911"
"Hollandale","Jeff Davis Road","Road/Street/Highway","","N/A"
"Indianola","Jefferson Davis Drive","Road/Street/Highway","","N/A"
"Indianola","Stonewall Drive","Road/Street/Highway","","N/A"
"Jackson","Sons of Confederate Veterans Commemorative License Plate","Commemorative License Plate","","N/A"
"Jackson","Mississippi State Flag","Flag","","1894"
"","","","","2001*"
"Jackson","Confederate Memorial Day","Holiday","","N/A"
"","(State offices closed at discretion)","(Last Monday in April)","",""
"Jackson","Lee's Birthday
(State observed)","Holiday
(3rd Monday in January)","","N/A"
"Jackson","Andrew Jackson Monument","Monument","","1972"
"Jackson","Confederate Dead Monument","Monument","","1891"
"Jackson","Confederate Monument","Monument/Gov.Property","","1891"
"Jackson","Women of the Confederacy Monument","Monument/Gov.Property","","1917"
"Jackson","Davis Magnet School","School","","N/A"
"Jackson","Lee Elementary School","School","","1922"
"Kosciusko","Confederate Monument","Monument/Courthouse","","1911"
"Laurel","Confederate Memorial","Monument/Courthouse","","1912"
"Leakesville","Jeff Davis Road","Road/Street/Highway","","N/A"
"Lexington","Confederate Monument","Monument/Courthouse","","1908"
"Lexington","Robert E. Lee Street","Road/Street/Highway","","N/A"
"Liberty","Confederate Monument","Monument","","1871"
"Long Beach","Jeff Davis Avenue","Road/Street/Highway","","N/A"
"Louisville","Confederate Monument","Monument","","1921"
"Lucedale","Robert E. Lee Road","Road/Street/Highway","","N/A"
"Macon","Confederate Memorial Monument","Monument/Courthouse","","1901"
"Meridian","Confederate Monument","Monument/Courthouse","","1912"
"Meridian","Jeff Davis School Road","Road/Street/Highway","","N/A"
"Moss Point","Anderson Road","Road/Street/Highway","","N/A"
"Moss Point","Barron Road","Road/Street/Highway","","N/A"
"Moss Point","Beauregard Road","Road/Street/Highway","","N/A"
"Moss Point","Bragg Road","Road/Street/Highway","","N/A"
"Moss Point","Breckinridge Road","Road/Street/Highway","","N/A"
"Moss Point","Cleburne Road","Road/Street/Highway","","N/A"
"Moss Point","Early Road","Road/Street/Highway","","N/A"
"Moss Point","Ewell Road","Road/Street/Highway","","N/A"
"Moss Point","Forrest Road","Road/Street/Highway","","N/A"
"Moss Point","Hood Road","Road/Street/Highway","","N/A"
"Moss Point","Joseph E. Johnston Road","Road/Street/Highway","","N/A"
"Moss Point","Kirby Smith Road","Road/Street/Highway","","N/A"
"Moss Point","Longstreet","Road/Street/Highway","","N/A"
"Moss Point","Magruder Road","Road/Street/Highway","","N/A"
"Moss Point","Pemberton Road","Road/Street/Highway","","N/A"
"Moss Point","Pickett Road","Road/Street/Highway","","N/A"
"Moss Point","Robert E. Lee Road","Road/Street/Highway","","N/A"
"Moss Point","Van Dorn","Road/Street/Highway","","N/A"
"Natchez","Confederate Monument","Monument","","1890"
"New Albany","Robert E. Lee Drive","Road/Street/Highway","","N/A"
"Okolona","Our Confederate Dead","Monument","","1905"
"","","","","1951*"
"Oxford","Confederate Monument","Monument/Courthouse","","1907"
"Oxford","Jefferson Davis Drive","Road/Street/Highway","","N/A"
"Oxford","Jeff Davis Elementary School","School","","1959"
"Pascagoula","Baker Road","Road/Street/Highway","","N/A"
"Pascagoula","Hardee Road","Road/Street/Highway","","N/A"
"Pascagoula","Imboden Road","Road/Street/Highway","N/A"
"Pascagoula","Jeb Stuart Road","Road/Street/Highway","N/A"
"Pascagoula","Mosby Road","Road/Street/Highway","N/A"
"Pascagoula","Robertson Road","Road/Street/Highway","N/A"
"Pascagoula","Wheeler Road","Road/Street/Highway","N/A"
"Philadelphia","Confederate Monument","Monument/Courthouse","1912"
"Picayune","Jefferson Davis Parkway","Road/Street/Highway","N/A"
"Picayune","Longstreet Lane","Road/Street/Highway","N/A"
"Picayune","Pemberton Place","Road/Street/Highway","N/A"
"Pontotoc","Pontotoc Confederate Monument","Monument/Courthouse","1919"
"Port Gibson","Claiborne County's Tribute","Monument","1906"
"","to Her Sons Who Served","",""
"","in the War of 1861-65","",""
"Prairie","Jeff Davis Road","Road/Street/Highway","N/A"
"Prentiss","Jefferson Davis County","County","1906"
"Quitman","Confederate Monument","Monument/Courthouse","1911"
"Raymond","Confederate Monument","Monument/Courthouse","1908"
"Ripley","Confederate Monument","Monument/Courthouse","1911"
"Senatobia","Beauregard Street","Road/Street/Highway","N/A"
"Senatobia","Forrest Avenue","Road/Street/Highway","N/A"
"Senatobia","Longstreet Lane","Road/Street/Highway","N/A"
"Stonewall","City of Stonewall","Municipality","N/A"
"Sumner","Confederate Monument","Monument/Courthouse","1913"
"Tupelo","Lee County","County","1866"
"Tupelo","Confederate Monument","Monument/Courthouse","1906"
"Tupelo","Beauregard Street","Road/Street/Highway","N/A"
"Tupelo","Confederate Avenue","Road/Street/Highway","N/A"
"Tupelo","Jeb Stuart Street","Road/Street/Highway","N/A"
"Tupelo","Robert E. Lee Drive","Road/Street/Highway","N/A"
"University","Confederate Monument","Monument","N/A"
"Vaiden","Vaiden Confederate Monument","Monument","1912"
"Waveland","Jeff Davis Avenue","Road/Street/Highway","N/A"
"Wesson","Beauregard Road","Road/Street/Highway","N/A"
"West Point","Confederate Monument","Monument","1907"
"Winona","Confederate Memorial Statue","Monument","1909"
"Yazoo City","Confederate Monument","Monument","N/A"
"Multiple Locations","Jefferson Davis Highway","Road/Street/Highway","N/A"
"Multiple Locations","Lee Highway","Road/Street/Highway","N/A"
