"Battlefield","South Robert E. Lee Street","Road/Street/Highway","N/A"
"Brookline","Missouri State Guard","Monument","2001"
"Cape Girardeau","Confederate Monument","Monument/Courthouse","1931"
"Columbia","Confederate Monument","Monument/Courthouse","1935"
"Columbia","Robert E. Lee Elementary School","School","1934"
"Dexter","Frenchman’s Spring","Monument","1996"
"Higginsville","Confederate Monument (Lion of Lucerne)","Monument","1906"
"Hillsboro","Jefferson Davis Drive","Road/Street/Highway","N/A"
"Huntsville","Captain Delaney S. Washburn Memorial","Monument/Courthouse","1976"
"Keytesville","Sterling Price Gazebo and Park","Park","1915"
"Marshall","Confederate Monument of Saline","Monument","1901"
"Neosho","Confederate Capital of Missouri","Monument/Courthouse","N/A"
"Palmyra","Palmyra Massacre Monument","Monument/Courthouse","1907"
"Roanoke","Shelby’s Homecoming Monument","Monument","1997"
"Sappington","General Lee Drive","Road/Street/Highway","N/A"
"St. Louis","Confederate Memorial","Monument","1914"
"St. Louis","Confederate Monument","Monument","1988"
"St. Louis","Confederate Drive","Road/Street/Highway","1914"
"Waverly","General Joseph O. Shelby statue","Monument","2009"
"West Alton","Confederate Memorial","Monument","1909"
