"Albemarle","Confederate Soldiers Monument","Monument","1925"
"Asheboro","Confederate Soldiers Monument","Monument/Courthouse","1911"
"Asheville","Monument to 60th Regiment North Carolina Volunteers","Monument/Courthouse","1905"
"Bakersville","Mitchell County’s Confederate Dead","Monument/Courthouse","N/A"
"Beaufort","Confederate Soldiers Monument","Monument","1926"
"Burgaw","Pender County","County","1875"
"Burgaw","Confederate Soldiers Monument","Monument/Courthouse","1914"
"Burnsville","Confederate Soldiers Monument","Monument/Courthouse","2009"
"Chapel Hill","Silent Sam Confederate Soldiers Monument","Monument","1913"
"Charlotte","Confederate Soldiers Monument","Monument","1977"
"Charlotte","Jefferson Davis Plaque","Monument","1960"
"Charlotte","Last Meetings of the Confederate Cabinet Marker","Monument","1915"
"Charlotte","1929 Confederate Reunion Marker","Monument","1929"
"Charlotte","Jefferson Davis Street","Road/Street/Highway","N/A"
"Clinton","Confederate Soldiers Monument","Monument/Courthouse","1916"
"Clinton","General Lee Lane","Road/Street/Highway","N/A"
"Columbia","Confederate Soldiers Monument","Monument/Courthouse","1902"
"Concord","Stonewall Jackson Youth Development Center","Jail","1909"
"Concord","Confederate Soldiers Monument","Monument","1892"
"Currituck","Confederate Soldiers Monument","Monument/Courthouse","1918"
"Dallas","Gaston County Confederate Soldier Monument","Monument/Courthouse","2003"
"Danbury","Confederate Soldiers Monument","Monument/Courthouse","1990"
"Dobson","Confederate Soldiers Monument","Monument/Courthouse","2000"
"Dunn","General Lee Avenue","Road/Street/Highway","N/A"
"Durham","Confederate Soldiers Monument","Monument/Courthouse","1924"
"Edenton","Confederate Soldiers Monument","Monument","1909"
"Elizabeth City","Confederate Soldiers Monument","Monument/Courthouse","1911"
"Faison","Monument to the “Confederate Grays” 20th Regiment North Carolina State Troops","Monument","1932"
"Fayetteville","Confederate Arsenal","Monument","1928"
"Fayetteville","Confederate Soldiers Monument","Monument","1902"
"Fayetteville","General Lee Avenue","Road/Street/Highway","N/A"
"Flat Rock","Robert E. Lee Drive","Road/Street/Highway","N/A"
"Fletcher","Jefferson Davis Monument","Monument","1931"
"Forest City","Forest City Confederate Monument","Monument","1932"
"Fort Bragg","Fort Bragg","Military Base","1918"
"Franklin","Confederate Soldiers Memorial","Monument","1909"
"Gastonia","Confederate Soldiers Monument","Monument/Courthouse","1912"
