"Altus","Jackson County","County","1907"
"Ardmore","Confederate Monument","Monument","1910"
"Durant","Confederate Monument","Monument/Courthouse","1918"
"Durant","Robert E. Lee Elementary School","School","N/A"
"Hugo","Rose Hill","Monument","N/A"
"Oklahoma City","Lee Elementary School","School","1910"
"Pauls Valley","Lee Elementary School","School","N/A"
"Rentiesville","Confederate Soldiers","Monument","1983"
"Stonewall","City of Stonewall","Municipality","N/A"
"Stonewall","Stonewall Elementary School","School","N/A"
"Tahlequah","Confederate Monument","Monument","1913"
"Tahlequah","Stand Waite Monument","Monument","1971"
"Tulsa","Lee Elementary School","School","1918"
