"Abingdon","Confederate Monument","Monument/Courthouse","","1907"
"Alexandria","Robert E. Lee RECenter","Building","","N/A"
"Alexandria","Appomatox Confederate Statue","Monument","","1889"
"Alexandria","Beauregard Street","Road/Street/Highway","","N/A"
"Alexandria","Bragg Street","Road/Street/Highway","","N/A"
"Alexandria","Braxton Place","Road/Street/Highway","","N/A"
"Alexandria","Breckinridge Place","Road/Street/Highway","","N/A"
"Alexandria","Calhoun Avenue","Road/Street/Highway","","N/A"
"Alexandria","Chambliss Street","Road/Street/Highway","","N/A"
"Alexandria","Dearing Street","Road/Street/Highway","","N/A"
"Alexandria","Donelson Street","Road/Street/Highway","","N/A"
"Alexandria","Early Street","Road/Street/Highway","","N/A"
"Alexandria","Floyd Street","Road/Street/Highway","","N/A"
"Alexandria","French Street","Road/Street/Highway","","N/A"
"Alexandria","Frost Street","Road/Street/Highway","","N/A"
"Alexandria","Gordon Street","Road/Street/Highway","","N/A"
"Alexandria","Hardee Place","Road/Street/Highway","","N/A"
"Alexandria","Hume Avenue","Road/Street/Highway","","N/A"
"Alexandria","Imboden Street","Road/Street/Highway","","N/A"
"Alexandria","Iverson Street","Road/Street/Highway","","N/A"
"Alexandria","Jackson Place","Road/Street/Highway","","N/A"
"Alexandria","Janney’s Lane","Road/Street/Highway","","N/A"
"Alexandria","Jordan Street","Road/Street/Highway","","N/A"
"Alexandria","Jubal Avenue","Road/Street/Highway","","N/A"
"Alexandria","Lee Street","Road/Street/Highway","","N/A"
"Alexandria","Longstreet Lane","Road/Street/Highway","","N/A"
"Alexandria","Maury Lane","Road/Street/Highway","","N/A"
"Alexandria","Pegram Street","Road/Street/Highway","","N/A"
"Alexandria","Quantrell Avenue","Road/Street/Highway","","N/A"
"Alexandria","Reynolds Street","Road/Street/Highway","","N/A"
"Alexandria","Rosser Street","Road/Street/Highway","","N/A"
"Alexandria","Van Dorn Street","Road/Street/Highway","","N/A"
"Alexandria","Wheeler Avenue","Road/Street/Highway","","N/A"
"Amelia","Confederate Monument","Monument/Courthouse","","1905"
"Amherst","Amherst County Confederate Monument","Monument/Courthouse","","1922"
"Appomattox","Confederate Monument","Monument/Courthouse","","1905"
"Bedford","Confederate Memorial","Monument/Courthouse","","1935"
"Berryville","Confederate Memorial","Monument/Courthouse","","1900"
"Blackstone","Jeb Stuart Road","Road/Street/Highway","","N/A"
"Bland","Confederate Monument","Monument/Courthouse","","1911"
"Bland","Jeb Stuart Street","Road/Street/Highway","","N/A"
"Boones Mill","Jubal Early Highway","Road/Street/Highway","","N/A"
"Bowling Green","Confederate Monument","Monument/Courthouse","","1906"
"Boydton","Monument to Confederate","Monument/Courthouse","","1908"
