"Charles Town","Beauregard Boulevard","Road/Street/Highway","","N/A"
"Charles Town","Lee Way","Road/Street/Highway","","N/A"
"Charleston","Stonewall Jackson Bust","Monument/Gov.Property","","1959"
"Charleston","Stonewall Jackson Statue","Monument/Gov.Property","","1910"
"Charleston","Beauregard Street","Road/Street/Highway","","N/A"
"Charleston","Jackson Street","Road/Street/Highway","","N/A"
"Charleston","Lee Street","Road/Street/Highway","","N/A"
"Craigsville","General Lee Street","Road/Street/Highway","","N/A"
"Elkins","Robert E. Lee Avenue","Road/Street/Highway","","N/A"
"Flatwoods","Stonewall Jackson Highway","Road/Street/Highway","","N/A"
"Harpers Ferry","Hayward Shepherd","Monument","","1931"
"Hinton","Confederate Soldier Monument","Monument/Courthouse","","1914"
"Lewisburg","Confederate Monument","Monument","","1906"
"Mingo","Confederate Soldier Monument","Monument","","1913"
"","","","","2013*"
"Parkersburg","Confederate Soldier Monument","Monument","","1908"
"Union","Monroe County Confederate Soldier","Monument","","1901"
"Weston","Stonewall Jackson Lake State Park","Park","","1990"
